Sample	Title	Tissue	Ecotype	Genotype	Treatment	Project	TotalReads	UniqelyMappedRate	Unnamed: 9
GSM3204848	Col-0_22C_ZT6_Rep1	12-day-old whole seedling tissue	Col-0	wild type	22¡ãC_6h	PRJNA476778	19421500	0.7953	
GSM3204849	prr7prr9_22C_ZT6_Rep1	12-day-old whole seedling tissue	Col-0	prr7prr9	22¡ãC_6h	PRJNA476778	26347731	0.8385	
GSM3204850	Col-0_37C_ZT6_Rep1	12-day-old whole seedling tissue	Col-0	wild type	37¡ãC_6h	PRJNA476778	20572933	0.8613	
GSM3204851	prr7prr9_37C_ZT6_Rep1	12-day-old whole seedling tissue	Col-0	prr7prr9	37¡ãC_6h	PRJNA476778	21574985	0.8687	
GSM3209218	0day_1	rosette	Col-0	wild type	SD	PRJNA477336	45542220	0.9756	
GSM3209221	2days_1	rosette	Col-0	wild type	SD_2dLD*	PRJNA477336	44506108	0.9788	
GSM3209224	3days_1	rosette	Col-0	wild type	SD_3dLD*	PRJNA477336	44073307	0.9718	
GSM3209227	5days_1	rosette	Col-0	wild type	SD_5dLD*	PRJNA477336	41046783	0.977	
GSM3294422	Col-0 without Rnase R digestion	inflorescences	Col-0	wild type	--	PRJNA482052	20416556	0.9311	
GSM3294424	Col-0 with Rnase R digestion	inflorescences	Col-0	wild type	--	PRJNA482052	12100128	0.9482	
GSM3294426	dbr1-2 without Rnase R digestion	inflorescences	Col-0	dbr1-2 mutant	--	PRJNA482052	20430398	0.9383	
GSM3294428	dbr1-2 with Rnase R digestion	inflorescences	Col-0	dbr1-2 mutant	--	PRJNA482052	16704430	0.9417	
GSM3311571	EV_B1Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	30715453	0.8385	
GSM3311583	EV_B2Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	22737013	0.804	
GSM3311589	COL5_B3Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	18570776	0.8472	
GSM3311590	GATA17L_B3Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	26530279	0.8171	
GSM3311591	HHO3_B3Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	25538900	0.8068	
GSM3311598	EV_B3Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	18338493	0.8149	
GSM3311599	CRF4_B3Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	23861938	0.803	
GSM3311613	C2H2_B4Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	23164226	0.819	
GSM3311614	CDF1_B4Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	25475999	0.8331	
GSM3311615	ZFP4_B4Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	23496726	0.8204	
GSM3311616	HHO2_B4Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	18940186	0.817	
GSM3311617	bZIP3_B4Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	20513982	0.8143	
GSM3311628	EV_B4Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	18162915	0.7808	
GSM3311629	NAC4_B4Rep1	root protoplasts	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	21262541	0.7876	
GSM3316336	WT_7DAG_1	Seedlings	Col-0	Wild Type	--	PRJNA483876	57837872	0.9155	
GSM3316340	hta9hta11_7DAG_1	Seedlings	Col-0	hta9hta11 doble mutant	--	PRJNA483876	39499783	0.9459	
GSM3316343	hta9hta11_FLAG-HTA9_N_7DAG_1	Seedlings	Col-0	hta9hta11_FLAG-HTA9_N	--	PRJNA483876	34868445	0.9606	
GSM3316346	hta9hta11_FLAG-HTA9_RR_7DAG_1	Seedlings	Col-0	hta9hta11_FLAG-HTA9_RR	--	PRJNA483876	35558889	0.9514	
GSM3325566	RNA-CTRL-7d-1	seedlings	Col-0	Wild type	control	PRJNA485260	36420063	0.9522	
GSM3325568	RNA-LHS-1	seedlings	Col-0	Wild type	LHS (long heat stress)*	PRJNA485260	41297613	0.9343	
GSM3325570	RNA-LHSR12-1	seedlings	Col-0	Wild type	LHSR12 (long heat stress recovery 12 hours)*	PRJNA485260	42064217	0.9443	
GSM3325572	RNA-LHSR84-1	seedlings	Col-0	Wild type	LHSR84 (long heat stress recovery 84 hours)*	PRJNA485260	35989774	0.9517	
GSM3330039	SAP11aywb_exposed_D1	leaf	Col-0	SAP11 overexpressed	exposed to M. quadrilineatus	PRJNA485633	13375743	0.917	
GSM3330043	SAP11mbsp_exposed_E1	leaf	Col-0	SAP11 overexpressed	exposed to M. quadrilineatus	PRJNA485633	12479249	0.9162	
GSM3330047	col0_exposed_H1	leaf	Col-0	wild type	exposed to M. quadrilineatus	PRJNA485633	14558927	0.9009	
GSM3348229	Red light treated Col rep1	seedlings	Col-0	wild type	1h red light	PRJNA486910	25124930	0.8815	
GSM3348231	Dard treated Col rep1	seedlings	Col-0	wild type	darkness	PRJNA486910	26613045	0.8688	
GSM3348233	Red light treated phyB rep1	seedlings	Col-0	phyB mutant	1h red light	PRJNA486910	20631739	0.8752	
GSM3348235	Red light treated phyAB rep1	seedlings	Col-0	phyAB mutant	1h red light	PRJNA486910	28237497	0.8784	
GSM3371563	WT_24h_1	seed	Col-0	wild type	Imbibed seeds (dormant) for 24h on filter paper with water in dark at 25C	PRJNA488814	16847429	0.9458	
GSM3371566	WT_dry_1	seed	Col-0	wild type	no treatment	PRJNA488814	14644924	0.9336	
GSM3371569	mpk8_24h_1	seed	Col-0	mpk8 mutant	Imbibed seeds (dormant) for 24h on filter paper with water in dark at 25C	PRJNA488814	22395685	0.9556	
GSM3371572	mpk8_dry_1	seed	Col-0	mpk8 mutant	no treatment	PRJNA488814	19066740	0.9343	
GSM3371575	tcp14_24h_1	seed	Col-0	tcp14 mutant	Imbibed seeds (dormant) for 24h on filter paper with water in dark at 25C	PRJNA488814	18408982	0.924	
GSM3371578	tcp14_dry_1	seed	Col-0	tcp14 mutant	no treatment	PRJNA488814	22465726	0.9368	
GSM3391608	Col0_1	whole plant	Col-0	wild type	--	PRJNA491272	15629078	0.9331	
GSM3391611	lst8-1_1	whole plant	Col-0	lst8 mutant	--	PRJNA491272	16301180	0.9374	
GSM3391614	maktor1g1_1	whole plant	Col-0	maktor mutant	--	PRJNA491272	16059831	0.9369	
GSM3391617	maktor1g1maktor5g_1	whole plant	Col-0	maktor mutant	--	PRJNA491272	16216875	0.9386	
GSM3391620	yak1_1	whole plant	Col-0	yak1 mutant	--	PRJNA491272	14789343	0.9347	
GSM3391623	yak1lst8-1_1	whole plant	Col-0	yak1 lst8 mutant	--	PRJNA491272	17882608	0.9358	
GSM3402476	WT pollen RNA-seq rep1	pollen	Col-0	wild type	--	PRJNA493255	65757351	0.7847	
GSM3402479	pVC::H1 pollen RNA-seq rep1	pollen	Col-0	pVC::H1.1-mRFP	--	PRJNA493255	58146800	0.7916	
GSM3408062	WT_rep1	10-days Seedlings	Col-0	wild type	--	PRJNA494061	13012117	0.9195	
GSM3408065	17ab_rep1	10-days Seedlings	Col-0	mutant 17ab	--	PRJNA494061	13015082	0.9251	
GSM3414839	wt Col-0 rep 1	2weeks seedlings	Col-0	wild type	--	PRJNA494398	25486480	0.9235	
GSM3414843	eds4 mutant rep 1	2weeks seedlings	Col-0	eds4 -/-	--	PRJNA494398	22647547	0.9162	
GSM3414846	wt total rep 1	2weeks seedlings	Col-0	wild type	--	PRJNA494398	16737451	0.8962	
GSM3414848	eds4 total rep 1	2weeks seedlings	Col-0	eds4 -/-	--	PRJNA494398	16668450	0.8958	
GSM3416966	Aerated Bio Rep1	shoots	Col-0	--	aerated	PRJNA494693	56690298	0.8903	
GSM3416967	Non Aerated Bio Rep1	shoots	Col-0	--	non-aerated	PRJNA494693	53144616	0.8904	
GSM3423810	1C-1	embryo	Col-0	--	--	PRJNA495335	30952209	0.794	
GSM3423813	32C-1	embryo	Col-0	--	--	PRJNA495335	28617212	0.7633	
GSM3430686	Second Micropore Bio Rep1	shoots	Col-0	--	micropore filter	PRJNA494693	35643444	0.8496	
GSM3430690	Second Non-Aerated Bio Rep1	shoots	Col-0	--	non-aerated	PRJNA494693	36594656	0.8868	
GSM3430694	Second Aerated Bio Rep1	shoots	Col-0	--	aerated	PRJNA494693	26667212	0.7944	
GSM3443221	Col-r2	7-day-old whole seedling	Col-0	wild type	--	PRJNA498071	18530232	0.8882	
GSM3443223	hda9-hos15-r2	7-day-old whole seedling	Col-0	hda9 SALK_007123, hos15-2 SALK_064435	--	PRJNA498071	19912543	0.912	
GSM3443225	hda9-r2	7-day-old whole seedling	Col-0	hda9 SALK_007123	--	PRJNA498071	17536705	0.9023	
GSM3443227	hos15-r2	7-day-old whole seedling	Col-0	hos15-2 SALK_064435	--	PRJNA498071	17632237	0.9218	
GSM3443229	pwr-r2	7-day-old whole seedling	Col-0	pwr SALK_071811C	--	PRJNA498071	18299608	0.9144	
GSM3443231	B2 Rep 2	leaves	Col-0	--	Isoprene emitting	PRJNA498076	51339943	0.9229	
GSM3443234	EV-B3 Rep 2	leaves	Col-0	--	Non-emitting	PRJNA498076	41168546	0.9132	
GSM3466503	Columbia gynoecia	gynoecia	Col-0	wild type	--	PRJNA505255	10790870	0.8223	
GSM3466507	arf6arf8 gynoecia	gynoecia	Col-0	arf6arf8	--	PRJNA505255	15584888	0.8223	
GSM3466509	mARF8 3B gynoecia	gynoecia	Col-0	mARF8 3B	--	PRJNA505255	7492193	0.8222	
GSM3466513	Pstk_axr3 gynoecia	gynoecia	Col-0	Pstk_axr3	--	PRJNA505255	9501435	0.8169	
GSM3466517	arf6 Pstk_axr3 15-5 gynoecia	gynoecia	Col-0	arf6 Pstk_axr3 15-5	--	PRJNA505255	7804005	0.8299	
GSM3466518	arf6 Pstk_axr3 25-2 gynoecia	gynoecia	Col-0	arf6 Pstk_axr3 15-5	--	PRJNA505255	16382428	0.8334	
GSM3466521	Columbia stamens	stamens	Col-0	wild type	--	PRJNA505255	4320649	0.8151	
GSM3466524	arf6arf8 stamens	stamens	Col-0	arf6arf8	--	PRJNA505255	13774806	0.8142	
GSM3466526	mARF8 3B stamens	stamens	Col-0	mARF8 4B	--	PRJNA505255	6104934	0.8141	
GSM3466740	Col-0 RNA-seq	Apical portions of plants (cut in hypocotyl)	Col-0	wild type	--	PRJNA505275	18821412	0.7383	
GSM3466743	sob3-6 RNA-seq	Apical portions of plants (cut in hypocotyl)	Col-0	sob3-6	--	PRJNA505275	13926024	0.7682	
GSM3466746	SOB3-D RNA-seq	Apical portions of plants (cut in hypocotyl)	Col-0	SOB3-D	--	PRJNA505275	8326869	0.8115	
GSM3466749	pif4 pif5 pif7 RNA-seq	Apical portions of plants (cut in hypocotyl)	Col-0	pif4-101 pif5(pil6-1) pif7-1	--	PRJNA505275	15769739	0.7629	
GSM3475784	Col-0 RNA-Seq1	Whole seedlings	Col-0	wild type	2h 25uM dexamethasone	PRJNA505705	17381629	0.8995	
GSM3475790	Col-0 TSA RNA-Seq1	Whole seedlings	Col-0	wild type	2h 25uM dexamethasone,1uM trichostatin	PRJNA505705	21091545	0.8935	
GSM3498712	Columbia-0_R1	seedlings	Col-0	wild type	--	PRJNA507972	24741530	0.9314	
GSM3498716	mbd9-3_R1	seedlings	Col-0	mbd9-3	--	PRJNA507972	20195914	0.9291	
GSM3498720	arp6-1_R1	seedlings	Col-0	arp6-1	--	PRJNA507972	21760316	0.9353	
GSM3498724	arp6-1,mbd9-3_R1	seedlings	Col-0	arp6-1,mbd9-3	--	PRJNA507972	25919627	0.9355	
GSM3499767	WT 16DAF rep1	Seed	Col-0	wild type	--	PRJNA508214	32419281	0.7623	
GSM3499773	dgat1-1 12DAF rep1	Seed	Col-0	dgat1-1	--	PRJNA508214	32298522	0.7004	
GSM3511858	WT rep1	Root	Col-0	Wild type	Protoplasted	PRJNA509920	261013034	0.7763	
GSM3511861	unprotoplasted rep1	Root	Col-0	Wild type	Unprotoplasted	PRJNA509920	15298551	0.9177	
GSM3511863	protoplasted rep1	Root	Col-0	Wild type	Protoplasted	PRJNA509920	21420812	0.9516	
GSM3516768	WT rep1	14 day-old seedlings	Col-0	wild type	--	PRJNA510312	66494670	0.8329	
GSM3516770	nerd-1 rep1	14 day-old seedlings	Col-0	nerd-1	--	PRJNA510312	79300832	0.8382	
GSM3516772	nerd-1+T rep1	14 day-old seedlings	Col-0	nerd-1+T	--	PRJNA510312	70075220	0.8321	
GSM3526275	WT_1	seedling	Col-0	wild type	--	PRJNA511129	22134863	0.9012	
GSM3526278	B_1	seedling	Col-0	bli-1-/-	--	PRJNA511129	35576779	0.8942	
GSM3526281	Ba_1	seedling	Col-0	bli-1-/-ire1a-/-	--	PRJNA511129	38235893	0.8906	
GSM3526284	Bb_1	seedling	Col-0	bli-1-/-ire1b-/-	--	PRJNA511129	22610179	0.8929	
GSM3529055	WT_rep1	seedling	Col-0	wild type	--	PRJNA511595	40051896	0.8705	
GSM3529057	s2lb_rep1	seedling	Col-0	pSDG2:myc-SDG2	--	PRJNA511595	43237822	0.8806	
GSM3559379	BnA9::BnMAGL8.1 Replicate 1	flower buds	Col-0	BnA9	--	PRJNA514309	7186576	0.9356	
GSM3559382	WT Replicate 1	flower buds	Col-0	wild type	--	PRJNA514309	7797113	0.9435	
GSM3596616	G2 Rep1	10day seedling	Col-0	wild type	GR244DO_2 hours	PRJNA521623	30124846	0.9342	
GSM3596619	G4 Rep1	10day seedling	Col-0	wild type	GR244DO_4 hours	PRJNA521623	32661640	0.9216	
GSM3596622	M0 Rep1	10day seedling	Col-0	wild type	solvent_0 hours (start point)	PRJNA521623	31723223	0.9374	
GSM3596625	M2 Rep1	10day seedling	Col-0	wild type	solvent_2 hours	PRJNA521623	30777241	0.9272	
GSM3596628	M4 Rep1	10day seedling	Col-0	wild type	solvent_4 hours	PRJNA521623	33178187	0.9178	
GSM3605150	Wild type seedlings, Control_1	6day seedlings	Col-0	Wild type	untreated	PRJNA523174	37768361	0.9447	
GSM3605155	Wild type seedlings,50 ¦ÌM JA treatment for 1 h_1	6day seedlings	Col-0	Wild type	JA_1h	PRJNA523174	37418085	0.9434	
GSM3605160	Wild type seedlings,50 ¦ÌM JA treatment for 3 h_1	6day seedlings	Col-0	Wild type	JA_3h	PRJNA523174	36238746	0.9398	
GSM3605165	Mutant seedlings, 50 ¦ÌM JA treatment for 0 h_1	6day seedlings	Col-0	ecap-2 mutant	untreated	PRJNA523174	36356537	0.9278	
GSM3605170	Mutant seedlings, 50 ¦ÌM JA treatment for 1 h_1	6day seedlings	Col-0	ecap-2 mutant	JA_1h	PRJNA523174	42231662	0.9473	
GSM3605175	Mutant seedlings, 50 ¦ÌM JA treatment for 3 h_1	6day seedlings	Col-0	ecap-2 mutant	JA_3h	PRJNA523174	38585642	0.9445	
GSM3612819	Col50Rt 1	root	Col-0	wild type	iron suHHicient	PRJNA523248	26264889	0.8654	
GSM3612822	Col00Rt1	root	Col-0	wild type	iron deHicient	PRJNA523248	27102227	0.8848	
GSM3612825	clf50Rt1	root	Col-0	clf	iron suHHicient	PRJNA523248	34422949	0.8601	
GSM3612828	clf0Rt1	root	Col-0	clf	iron deHicient	PRJNA523248	31782015	0.8535	
GSM3620625	mRNAseq rep1	seedlings	Col-0	--	--	PRJNA524135	30157053	0.8063	
GSM3620641	polysome-seq rep1	seedlings	Col-0	--	--	PRJNA524135	31251640	0.7924	
GSM3633922	Col_rep1	complete seedling	Col-0	wild type	--	PRJNA524697	18113009	0.8953	
GSM3633925	H89C11-7_rep1	complete seedling	Col-0	H89C11-7 transgenic line	--	PRJNA524697	15420866	0.8826	
GSM3633928	H89C23-10_rep1	complete seedling	Col-0	H89C23-10 transgenic line	--	PRJNA524697	26168938	0.8839	
GSM3633931	H89C4-7_rep1	complete seedling	Col-0	H89C4-7 transgenic line	--	PRJNA524697	19511085	0.878	
GSM3633934	NEET10-10_rep1	complete seedling	Col-0	NEET10-10 transgenic line	--	PRJNA524697	20087283	0.891	
GSM3633937	NEET11-9_rep1	complete seedling	Col-0	NEET11-9 transgenic line	--	PRJNA524697	25525247	0.8791	
GSM3633940	NEET5-4_rep1	complete seedling	Col-0	NEET5-4 transgenic line	--	PRJNA524697	23480466	0.8839	
GSM3636157	Col-0_24h_rep 1	seedling root	Col-0	wild type	untreated plate	PRJNA524935	62353450	0.9059	
GSM3636159	Col-0_48h_rep 1	seedling root	Col-0	wild type	untreated plate	PRJNA524935	65596086	0.8895	
GSM3636165	ein2/jar1_24h_rep 1	seedling root	Col-0	ein2-1/jar1-1	untreated plate	PRJNA524935	58595848	0.9077	
GSM3636167	ein2/jar1_48h_rep 1	seedling root	Col-0	ein2-1/jar1-1	untreated plate	PRJNA524935	69403035	0.9007	
GSM3656391	Control_1	seedling	Col-0	--	DMSO	PRJNA525779	12486507	0.9335	
GSM3656394	Treatment A_1	seedling	Col-0	--	ABA	PRJNA525779	13204849	0.9262	
GSM3656397	Treatment P_1	seedling	Col-0	--	3'-propyl ABA	PRJNA525779	11274940	0.9283	
GSM3656400	Treatment B_1	seedling	Col-0	--	3'-butyl ABA	PRJNA525779	11723746	0.92	
GSM3656468	Col_Ec_2dpi_rep1	leaves	Col-0	wild type	Erysiphe cichoracearum 2dpi	PRJNA525816	10737869	0.7503	
GSM3656471	pip5k1 pip5k2_Ec_2dpi_rep1	leaves	Col-0	pip5k1 pip5k2 mutant	Erysiphe cichoracearum 2dpi	PRJNA525816	11676944	0.8246	
GSM3656474	Col_Ec_5dpi_rep1	leaves	Col-0	wild type	Erysiphe cichoracearum 5dpi	PRJNA525816	13625726	0.7832	
GSM3656477	pip5k1 pip5k2_Ec_5dpi_rep1	leaves	Col-0	pip5k1 pip5k2 mutant	Erysiphe cichoracearum 5dpi	PRJNA525816	12970495	0.8108	
GSM3656480	Col_Ec_7dpi_rep1	leaves	Col-0	wild type	Erysiphe cichoracearum 7dpi	PRJNA525816	9915712	0.7519	
GSM3656483	pip5k1 pip5k2_Ec_7dpi_rep1	leaves	Col-0	pip5k1 pip5k2 mutant	Erysiphe cichoracearum 7dpi	PRJNA525816	12534343	0.8047	
GSM3656486	Col_Mock_2d_rep1	leaves	Col-0	wild type	none 2d	PRJNA525816	11414463	0.7792	
GSM3656489	pip5k1 pip5k2_Mock_2d_rep1	leaves	Col-0	pip5k1 pip5k2 mutant	none 2d	PRJNA525816	11790344	0.8034	
GSM3656492	Col_Mock_5d_rep1	leaves	Col-0	wild type	none 5d	PRJNA525816	11429856	0.7905	
GSM3656495	pip5k1 pip5k2_Mock_5d_rep1	leaves	Col-0	pip5k1 pip5k2 mutant	none 5d	PRJNA525816	10318364	0.8234	
GSM3656498	Col_Mock_7d_rep1	leaves	Col-0	wild type	none 7d	PRJNA525816	10315611	0.7566	
GSM3656501	pip5k1 pip5k2_Mock_7d_rep1	leaves	Col-0	pip5k1 pip5k2 mutant	none 7d	PRJNA525816	10345487	0.8058	
GSM3662017	DIV1_B6_Rep1	root	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	8813499	0.7127	
GSM3662026	HB6_B3_Rep1	root	Col-0	--	Nitrogen, Cycloheximide, Dexamethasone	PRJNA483458	21757420	0.8089	
GSM3665895	CST1-Col_shoot_treated_1-1	Shoot	Col-0	wild type	CdCl2 72hr	PRJNA526623	14038674	0.8143	
GSM3665898	CST2-Col_shoot_treated_2-1	Shoot	Col-0	wild type	CdCl2 72hr	PRJNA526623	14122949	0.8265	
GSM3665901	CST3-Col_shoot_treated_3-1	Shoot	Col-0	wild type	CdCl2 72hr	PRJNA526623	14157027	0.7946	
GSM3665904	CRT1-Col_root_treated_1-1	Root	Col-0	wild type	CdCl2 72hr	PRJNA526623	10397220	0.8165	
GSM3665907	CRT2-Col_root_treated_2-1	Root	Col-0	wild type	CdCl2 72hr	PRJNA526623	12725651	0.8095	
GSM3665910	CRT3-Col_root_treated_3-1	Root	Col-0	wild type	CdCl2 72hr	PRJNA526623	12728552	0.819	
GSM3667110	EV_0N_Rep1	root protoplasts	Col-0	--	0N, Cycloheximide, Dexamethasone	PRJNA526775	15039320	0.709	
GSM3667113	EV_5N_Rep1	root protoplasts	Col-0	--	5N, Cycloheximide, Dexamethasone	PRJNA526775	10886180	0.7222	
GSM3667116	EV_60N_Rep1	root protoplasts	Col-0	--	60N, Cycloheximide, Dexamethasone	PRJNA526775	13608606	0.7481	
GSM3667122	EV_pChx_Rep1	root protoplasts	Col-0	--	Nitrogen, plus Cycloheximide, Dexamethasone	PRJNA526775	20700263	0.7783	
GSM3667125	Protoplast_0N_Rep1	root protoplasts	Col-0	--	0N	PRJNA526775	18133346	0.7302	
GSM3667129	Protoplast_60N_Rep1	root protoplasts	Col-0	--	60N	PRJNA526775	13221093	0.7003	
GSM3667133	Root_0N_Rep1	whole roots	Col-0	--	0N	PRJNA526775	15489488	0.8905	
GSM3667137	Root_60N_Rep1	whole roots	Col-0	--	60N	PRJNA526775	14848545	0.8631	
GSM3667141	TGA4_0N_Rep1	root protoplasts	Col-0	--	0N, Cycloheximide, Dexamethasone	PRJNA526775	12359655	0.7227	
GSM3667144	TGA4_5N_Rep1	root protoplasts	Col-0	--	5N, Cycloheximide, Dexamethasone	PRJNA526775	11415449	0.735	
GSM3667147	TGA4_60N_Rep1	root protoplasts	Col-0	--	60N, Cycloheximide, Dexamethasone	PRJNA526775	13665731	0.7288	
GSM3674583	RNA_Arabidopsis_7days_leaf_rep1	leaf	Col-0	--	--	PRJNA527732	32630619	0.9046	
GSM3677733	COL_rep1	4PGD seedlings	Col-0	Wild type	grown in the dark for 4 days, at 22¡ãC .	PRJNA527851	25184853	0.799	
GSM3677735	f1f3_rep1	4PGD seedlings	Col-0	fypp1 fypp3 homozygote	grown in the dark for 4 days, at 22¡ãC .	PRJNA527851	26966263	0.8045	
GSM3677737	pifq_rep1	4PGD seedlings	Col-0	pifq1 pifq3 piq4 pifq5 homozygote	grown in the dark for 4 days, at 22¡ãC .	PRJNA527851	36738173	0.8137	
GSM3687871	col0_PE_rep1	10 day old roots	Col-0	wild type	Petri dishes	PRJNA529202	50896413	0.8967	
GSM3687874	tex1-4_PE_rep1	10 day old roots	Col-0	tex1-4	Petri dishes	PRJNA529202	61961819	0.8851	
GSM3687877	col0_SE_rep1	3 weeks old roots	Col-0	wild type	Pots	PRJNA529202	80280327	0.8399	
GSM3687879	pho1-7tex1-4_SE_rep1	3 weeks old roots	Col-0	pho1-7tex1-4	Pots	PRJNA529202	62635892	0.8554	
GSM3687881	pho1-7hpr1-5_SE_rep1	3 weeks old roots	Col-0	pho1-7hpr1-5	Pots	PRJNA529202	78104551	0.8544	
GSM3687883	pho1-7_SE_rep1	3 weeks old roots	Col-0	pho1-7	Pots	PRJNA529202	67601912	0.8561	
GSM3688568	Total RNA ddm1 Rep 1	Inflorescence tissues	Col-0	ddm1-2	--	PRJNA529391	12422610	0.8476	
GSM3688571	Total RNA ddm1rdr6 Rep 1	Inflorescence tissues	Col-0	ddm1-2 rdr6-15	--	PRJNA529391	9350286	0.8872	
GSM3688574	Total polysomal RNA ddm1 Rep 1	Inflorescence tissues	Col-0	ddm1-2	--	PRJNA529391	9052481	0.8813	
GSM3688577	Total polysomal RNA ddm1rdr6 Rep 1	Inflorescence tissues	Col-0	ddm1-2 rdr6-15	--	PRJNA529391	7620459	0.8807	
GSM3688580	Microsome polysomal RNA ddm1 Rep 1	Inflorescence tissues	Col-0	ddm1-2	--	PRJNA529391	28792101	0.9396	
GSM3688583	Microsome polysomal RNA ddm1rdr6 Rep 1	Inflorescence tissues	Col-0	ddm1-2 rdr6-15	--	PRJNA529391	32634479	0.9213	
GSM3690288	Col-0_Mock_rep1	leaf	Col-0	--	Mock	PRJNA529701	20454366	0.9109	
GSM3690303	Col-0_Pathogen_rep1	leaf	Col-0	--	Pathogen	PRJNA529701	20496522	0.9078	
GSM3690668	At1+_3-1	seedlings	Col-0	AtIPCS1 over expressing line	untreated	PRJNA529715	16950973	0.856	
GSM3690671	At1++_7-1	seedlings	Col-0	AtIPCS1 over expressing line	untreated	PRJNA529715	18554759	0.8577	
GSM3690674	At2+_2-1	seedlings	Col-0	AtIPCS2 over expressing line	untreated	PRJNA529715	17228573	0.8618	
GSM3690677	At2++_9-1	seedlings	Col-0	AtIPCS2 over expressing line	untreated	PRJNA529715	14523327	0.8347	
GSM3690680	At3+_4-1	seedlings	Col-0	AtIPCS3 over expressing line	untreated	PRJNA529715	15914826	0.8685	
GSM3690683	At3++_5-1	seedlings	Col-0	AtIPCS3 over expressing line	untreated	PRJNA529715	18640891	0.8804	
GSM3690686	Col0-1	seedlings	Col-0	wild type	untreated	PRJNA529715	15943598	0.8707	
GSM3692907	iGFP-TFIIS_m rep1	Seedlings	Col-0	tfIIs-1 (SALK_056755)	EtOH	PRJNA529898	35731128	0.9031	
GSM3692910	iGFP-TFIIS_b rep1	Seedlings	Col-0	tfIIs-1 (SALK_056755)	2 mM b-estradiol	PRJNA529898	31712987	0.8033	
GSM3692913	iGFP-TFIISmut_m rep1	Seedlings	Col-0	tfIIs-1 (SALK_056755)	EtOH	PRJNA529898	33104335	0.9011	
GSM3692916	iGFP-TFIISmut_b rep1	Seedlings	Col-0	tfIIs-1 (SALK_056755)	2 mM b-estradiol	PRJNA529898	25535781	0.9056	
GSM3712360	NoBacteria_1000Pi_Rep2_1	whole seedling	Col-0	Col-0	1000Pi_NoBacteria	PRJNA531168	2445580	0.9223	
GSM3712363	NoBacteria_50Pi_Rep2_1	whole seedling	Col-0	Col-0	50Pi_NoBacteria	PRJNA531168	3594892	0.9236	
GSM3712366	SynCom_1000Pi_Rep1_1	whole seedling	Col-0	Col-0	1000Pi_SynCom	PRJNA531168	3578464	0.9144	
GSM3712369	SynCom_50Pi_Rep1_1	whole seedling	Col-0	Col-0	50Pi_SynCom	PRJNA531168	4204405	0.9109	
GSM3712372	NoBacteria_1000Pi_Rep1_1	whole seedling	Col-0	Col-0	1000Pi_NoBacteria	PRJNA531168	1780160	0.8979	
GSM3712378	SynCom_1000Pi_Rep2_1	whole seedling	Col-0	Col-0	1000Pi_SynCom	PRJNA531168	3425832	0.9116	
GSM3712381	SynCom_50Pi_Rep2_1	whole seedling	Col-0	Col-0	50Pi_SynCom	PRJNA531168	6205546	0.9231	
GSM3714858	TSS-Seq in hen2-2 - rep1	14day seedlings	Col-0	Hen2-2	none	PRJNA531657	60660517	0.8194	
GSM3714860	TSS-Seq in hen2-2 cold - rep1	14day seedlings	Col-0	Hen2-2	4C cold treatment for 3h	PRJNA531657	66709425	0.8344	
GSM3714862	TSS-Seq in WT cold - rep1	14day seedlings	Col-0	wild type	4C cold treatment for 3h	PRJNA531657	44040519	0.8893	
GSM3716756	Col-0 rep1	seedlings	Col-0	wild type	--	PRJNA531896	18399988	0.8864	
GSM3728301	prp40c mutant rep 1	2-week seedlings	Col-0	prp40c -/-	Continuous white light 22degreeC	PRJNA534210	21966696	0.8555	
GSM3762827	Pi_R1	roots	Col-0	--	grown with phosphate	PRJNA542492	23785916	0.9244	
GSM3762830	Pi_tZ_R1	roots	Col-0	--	grown with phosphate and treated with trans-zeatin	PRJNA542492	23773656	0.9288	
GSM3762833	Pi_cZ_R1	roots	Col-0	--	grown with phosphate and treated with cis-zeatin	PRJNA542492	23630739	0.9152	
